sid1,sid2,dist_m
4577,A02,268.67
4579,YL08,348.07
4580,YL08,213.53
4581,YL08,334.18
4584,A07,413.61
4584,A08,407.13
4590,YL17,410.32
4591,E10,204.88
4592,E10,480.10
4594,E10,294.63
4596,BL28,126.97
4598,BL29,427.09
4599,BL29,338.48
4600,BL29,311.26
4607,G03,366.66
4608,S08,205.19
4610,S07,341.95
4610,S08,495.11
4610,G01,445.26
4613,N08,40.70
4613,BL13,34.84
4666,YL17,264.09
4667,YL17,139.54
4668,BL28,333.24
4669,BL31,56.28
4670,PK29,18.69
4672,PK29,24.89
4675,PK25,469.23
4676,PK26,145.80
4677,PK27,253.68
4679,S10,149.26
4680,PK27,218.99
4682,BL23,441.87
4682,BL24,350.60
4683,BL25,454.01
4713,PK29,370.94
4715,BL01,204.75
4717,BL01,313.73
4749,BL28,250.16
4750,BL29,271.08
4752,A06,314.74
4752,BL21,241.96
4756,PP06,396.53
4759,PP07,348.40
4764,N16,132.04
4773,YL19,77.07
4784,BL19,227.69
4786,BL27,430.20
4810,G03,396.67
4814,BL28,349.66
4815,BL31,197.61
4816,BL31,483.94
4817,BL27,409.80
4818,PK12,301.05
4820,PK10,235.35
4821,PK10,319.80
4823,PK10,267.18
4824,PK10,208.93
4826,A08,346.18
4826,N02,236.60
4836,BL29,477.06
4837,BL26,402.56
4892,PK07,496.29
4893,PK08,42.87
4902,S12,212.51
4902,BL34,253.19
4937,YL19,216.48
4941,N08,151.21
4941,BL13,144.11
4951,BL31,464.25
4952,E12,215.72
4960,BL28,476.98
4960,BL29,487.40
4961,BL28,273.88
4993,BL06,484.78
4995,BL27,41.22
5013,PK28,297.79
5046,YL16,368.47
5047,YL16,376.24
5091,BL28,330.80
5127,G02,31.79
5127,G03,485.24
5128,G02,198.40
5157,S12,462.68
5187,BL31,220.23
5189,E04,306.79
5189,BL22,467.07
5190,BL23,326.19
5193,BL08,94.35
5195,PP07,490.20
5307,YL12,80.91
5310,E20,389.48
5311,E19,412.15
5318,PK08,374.18
5319,PK12,246.15
5321,PK11,458.27
5322,PK12,285.37
5327,YL12,68.56
5330,N16,23.67
5331,PK18,101.10
5348,N04,284.28
5372,YL21,231.60
5377,PP11,25.90
5387,N18,224.22
5394,S11,285.98
5401,YL04,44.25
5460,PK06,364.33
5463,PK06,347.14
5474,PK01,28.39
5474,PK02,401.81
5475,PK01,122.08
5475,PK02,416.76
5480,PP02,380.45
5481,PP02,429.51
5490,PP02,42.38
5491,PP02,97.04
5504,PK01,393.85
5505,PK01,422.76
5522,PP03,169.43
5523,PP03,139.54
5532,PP04,106.93
5534,PK09,473.19
5545,PK14,170.16
5547,PK14,244.72
5548,PK14,331.79
5561,PK03,243.77
5569,PP07,497.05
5582,PK01,423.46
5582,PK02,13.85
5583,PK01,477.32
5583,PK02,144.54
5590,PK05,41.83
5591,PK05,29.48
5603,N17,395.62
5603,PK16,489.92
5604,N17,414.43
13615,W01,483.91
13630,W01,462.13
13631,W01,346.61
13650,BL30,404.91
13651,BL30,183.25
